Timestamp,"Based on your Physical Appearance, select one that best identifies you",What is your Dressing Style?,"If you selected ""Other"" for your preferred style of dress, please specify.",How do you identify yourself (Self-Identification)?,"If you selected ""Other"" to the Self Identification question, please specify.",What is your Gender Category?,"If you selected ""Other"" for your preferred gender, please specify.",What is your Pronoun(s)?,"If you selected ""Other"" to the Pronoun question, please specify."
3/12/2025 17:03:34,Male,Masculine,,Affirms male gender,,Male/Man,,He/Him/His,
3/14/2025 12:00:08,Female,Feminine,,Affirms female gender,,Female/Woman,,She/Her/Hers,
3/14/2025 12:31:36,Male,Masculine,,Affirms male gender,,Male/Man,,He/Him/His,
3/25/2025 12:32:38,Female,Feminine,,Affirms female gender,,Female/Woman,,She/Her/Hers,
3/26/2025 16:15:27,Male,Masculine,,Affirms male gender,,Male/Man,,He/Him/His,
3/26/2025 16:17:27,Female,Androgynous,,Nonconforming,,Non-binary,,They/Them/Theirs,
3/26/2025 16:17:40,Female,Feminine,,Affirms female gender,,Female/Woman,,She/Her/Hers,
3/26/2025 16:20:44,Male,Masculine,,Affirms male gender,,Male/Man,,He/Him/His,
3/26/2025 16:58:15,Male,Masculine,,Affirms male gender,,Male/Man,,He/Him/His,
3/26/2025 17:56:34,Female,Androgynous,,Affirms female gender,,Female/Woman,,She/Her/Hers,
3/26/2025 18:30:27,Female,Androgynous,,Affirms female gender,,Female/Woman,,She/Her/Hers,
3/26/2025 19:00:47,Male,Masculine,,Affirms male gender,,Male/Man,,He/Him/His,
3/26/2025 19:00:54,Female,Feminine,,Affirms female gender,,Female/Woman,,She/Her/Hers,
3/26/2025 19:01:34,Male,Masculine,,Affirms male gender,,Male/Man,,He/Him/His,
3/27/2025 12:52:52,Female,Androgynous,,Affirms female gender,,Female/Woman,,She/Her/Hers,
3/27/2025 17:23:38,Female,Feminine,,Affirms female gender,,Female/Woman,,She/Her/Hers,
3/28/2025 14:44:22,Female,Masculine,,Affirms female gender,,Female/Woman,,She/Her/Hers,
3/28/2025 15:55:18,Male,Masculine,,Affirms male gender,,Male/Man,,He/Him/His,
3/28/2025 15:56:02,Female,Feminine,,Affirms female gender,,Female/Woman,,She/Her/Hers,
3/30/2025 22:20:40,Male,Masculine,,Affirms male gender,,Male/Man,,He/Him/His,
