,age,workclass,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,over50K
16503,34,2,11,2,6,0,2,1,0,0,39,38,0
20085,39,2,11,2,6,0,4,1,0,0,39,38,0
17359,14,2,9,4,12,1,4,1,0,0,39,38,0
4615,3,2,11,2,6,0,4,1,0,0,39,38,0
26464,38,2,4,2,6,0,4,1,0,0,39,25,0
13764,12,2,8,4,0,3,4,0,0,0,39,38,0
10792,3,2,1,2,11,2,4,0,0,0,49,38,0
15122,31,2,11,5,6,4,2,0,0,0,39,38,0
18260,11,2,15,2,4,0,4,1,0,0,39,38,0
25842,3,2,15,4,7,3,4,0,0,0,15,38,0
18616,14,2,11,4,7,3,4,1,0,0,23,38,0
10902,30,2,12,0,9,1,4,1,0,0,39,38,1
933,30,1,15,0,9,1,4,0,0,43,39,38,0
32152,8,2,8,4,2,3,4,1,0,0,39,38,0
442,38,4,12,2,9,0,4,1,0,48,39,38,1
2791,25,2,8,2,3,5,4,0,90,0,34,38,1
14158,25,2,15,2,0,5,4,0,0,0,39,38,0
18523,33,2,9,4,3,1,4,1,0,0,39,38,0
25447,34,2,5,4,5,3,4,1,0,0,18,38,0
3245,6,2,15,4,7,3,4,0,70,0,39,38,0
15144,34,2,11,2,2,0,4,1,0,0,41,38,0
25393,49,4,5,2,4,0,4,1,0,0,47,38,0
14452,44,5,0,4,7,1,2,0,0,0,37,38,0
13045,30,2,9,0,2,1,4,1,0,0,39,38,0
12221,4,2,15,4,0,4,4,1,0,0,39,38,0
266,28,2,11,2,2,0,4,1,0,53,39,38,0
4125,52,2,6,2,7,0,4,1,11,0,34,38,0
21310,1,2,0,4,7,3,4,0,0,0,29,38,0
1400,12,2,15,2,2,0,4,1,0,16,39,38,1
15586,30,0,11,2,2,0,4,1,0,0,39,38,0
9963,45,2,5,6,6,1,4,0,0,0,39,38,0
19969,55,2,10,4,9,1,4,1,0,0,29,38,0
2771,27,2,9,2,2,0,4,1,90,0,39,38,1
14816,9,2,9,4,11,1,4,0,0,0,39,38,0
11012,26,2,9,5,12,1,4,1,0,0,39,38,0
30655,31,2,11,2,2,0,4,1,0,0,39,38,1
6508,10,4,1,2,2,0,4,1,0,0,39,38,0
4872,9,2,8,4,12,3,4,1,0,0,39,38,0
8912,12,2,8,2,2,0,4,1,0,0,49,38,0
18091,6,2,2,2,2,0,4,1,0,0,39,38,0
7810,27,2,9,2,3,0,4,1,0,0,49,38,0
3871,8,2,12,4,9,3,4,0,38,0,30,38,0
2806,32,2,11,2,6,0,4,1,90,0,42,38,1
444,32,2,9,2,11,0,1,1,0,48,49,34,1
22237,26,2,15,2,9,0,4,1,0,0,39,38,0
13195,2,2,11,4,2,3,4,1,0,0,19,38,0
12107,10,5,15,4,12,3,4,0,0,0,75,38,0
544,31,5,10,2,9,5,4,0,0,45,45,38,1
23616,6,2,11,4,0,3,4,1,0,0,29,38,0
21525,60,2,6,2,8,5,2,0,0,0,9,38,0
17013,29,4,11,2,9,0,4,1,0,0,59,38,0
6310,19,1,15,0,0,4,4,0,0,0,63,38,0
16676,9,2,15,2,3,5,4,0,0,0,24,38,0
31112,5,2,11,4,11,2,4,1,0,0,39,38,0
450,9,2,14,2,9,0,4,1,0,48,39,38,1
21674,48,4,6,2,2,0,4,1,0,0,44,38,0
258,13,2,15,2,2,0,4,1,0,53,39,38,0
25849,22,5,10,0,9,1,4,0,0,0,39,38,1
12143,4,2,0,2,6,0,4,1,0,0,49,38,0
30527,8,2,15,4,13,1,4,0,0,0,44,38,0
19520,18,2,11,5,7,1,2,0,0,0,39,38,0
14904,7,2,9,4,12,3,4,1,0,0,39,38,0
5924,4,2,15,4,11,3,4,1,0,0,29,38,0
31898,34,4,9,2,12,0,4,1,0,0,44,38,1
21665,35,2,2,2,6,0,4,1,0,0,44,38,1
27234,28,2,15,2,6,0,4,1,0,0,78,38,1
27925,6,2,9,4,11,1,4,0,0,0,39,38,0
26155,10,2,7,4,11,1,4,0,0,0,39,38,0
3475,3,2,11,2,2,0,4,1,60,0,34,38,0
10182,46,2,11,2,2,0,4,1,0,0,47,38,0
28684,5,2,11,4,6,1,4,1,0,0,49,38,0
24544,15,5,9,0,3,1,1,0,0,0,39,38,0
24842,5,2,15,4,6,3,4,1,0,0,24,38,0
14625,35,4,11,2,13,0,4,1,0,0,21,38,0
16190,7,0,15,0,0,4,2,0,0,0,24,38,0
4909,24,4,15,2,3,0,4,1,0,0,59,38,0
13143,34,4,11,2,2,0,4,1,0,0,67,38,0
22535,13,2,9,4,3,1,4,1,0,0,39,38,0
11224,34,2,15,6,0,4,4,0,0,0,44,38,0
12277,9,0,12,4,9,1,4,1,0,0,39,38,0
1393,20,2,15,2,0,0,2,1,0,16,67,38,1
14255,1,2,11,4,11,3,4,0,0,0,19,38,0
26024,16,2,11,2,13,0,4,1,0,0,39,38,0
17495,13,5,9,4,9,2,4,1,0,0,34,38,0
17810,13,2,12,4,9,1,2,1,0,0,29,38,0
15633,31,2,12,2,9,0,4,1,0,0,39,7,1
11256,10,5,12,4,9,1,1,1,0,0,19,2,0
9789,17,2,15,4,0,3,4,0,0,0,39,38,0
15083,17,2,8,4,2,1,4,0,0,0,39,38,0
29922,18,2,11,4,13,3,4,1,0,0,39,38,0
7375,5,2,11,4,2,1,4,1,0,0,39,38,0
8530,39,2,14,2,9,0,4,1,0,0,44,38,1
10808,19,2,11,2,13,0,4,1,0,0,39,38,0
30018,8,1,9,2,9,0,4,1,0,0,59,38,0
29633,23,2,12,0,9,1,4,1,0,0,19,38,0
5515,26,1,9,2,9,0,2,1,0,0,39,38,1
3668,16,2,11,2,11,0,4,1,49,0,39,38,1
11119,20,2,11,2,6,0,4,1,0,0,39,38,0
23404,25,1,9,4,9,1,4,1,0,0,49,38,0
3274,33,4,9,4,2,1,4,1,68,0,44,38,0
